WPS Index rank,Country,WPS Index score,Education (years) ,Financial inclusion (%),Employment (%),Cell phone use (%) ^m,Parliamentary representation (%),Absensce of legal discrimination (aggregate score),Sex ratio at birth (male to female ratio),Discriminatry norms (%),Intimate partner violence (%),Perception of community safety (%) ^m,"Organized violence (battle deaths per 100,000 people)"
1,Norway,0.922,13,100,58.9,99,45.6,96.9,1.06,0,4,89.5,0
2,Finland,0.909,12.9,99.6,52.7,100,46,97.5,1.05,1,8,80.9,0
3,Iceland,0.907,12.6,92.4,64.2,99.6,39.7,100,1.05,0,3,72.6,0
4,Denmark,0.903,13.1,100,54,100,39.7,100,1.06,2,3,79.1,0
5,Luxembourg,0.899,12,98.2,54.9,99.4,31.7,100,1.05,2,4,85.6,0
6,Switzerland,0.898,12.7,98.9,58.8,93.6,39,85.6,1.05,2,2,81.9,0
7,Sweden,0.895,12.7,100,57.3,98.5,47,100,1.06,1,6,68.9,0
8,Austria,0.891,12.2,98.4,51.7,97.5,40.6,96.9,1.06,7,4,84.9,0
9,United Kingdom,0.888,13.2,96.1,56.3,94.2,30.6,97.5,1.05,2,4,77.3,0
10,Netherlands,0.885,12.1,99.8,54.8,94.9,35.1,97.5,1.05,2,5,73.7,0
11,Germany,0.88,13.9,99.2,53.7,95.3,31.9,97.5,1.06,3,3,72.4,0
12,Canada,0.879,13.4,99.9,53.5,90.6,33.9,100,1.06,0,3,68.8,0
13,New Zealand,0.873,12.7,99.3,62.7,90.6,48.3,97.5,1.06,3,4,50.3,0
14,Spain,0.872,10,91.6,44.3,98.9,42.6,97.5,1.06,1,3,75.1,0
15,France,0.87,11.2,91.3,48.3,92.2,37.7,100,1.05,2,5,70.5,0
15,Singapore,0.87,11.3,96.3,61.3,96.8,29.5,82.5,1.07,2,2,96.9,0
15,Slovenia,0.87,12.7,96.9,51.9,98.8,21.5,96.9,1.06,4,3,84.9,0
18,Portugal,0.868,9.2,90.6,52.1,96.8,40,100,1.06,4,4,77.7,0
19,Ireland,0.867,12.9,95.3,54.1,97.7,27.3,100,1.06,3,3,69.9,0
20,Estonia,0.863,13.6,98.4,54.6,100,27.7,97.5,1.07,2,4,71,0
21,United States,0.861,13.5,92.7,52,94,26.8,91.3,1.05,1,6,70.6,0
22,Belgium,0.859,11.9,98.8,48.7,96.4,42.9,100,1.05,3,5,44.4,0
23,Latvia,0.858,13.5,92.5,54.2,100,29,100,1.06,7,6,66.4,0
24,Australia,0.856,12.8,99.2,55.2,89.3,37.9,96.9,1.06,1,3,49.8,0
24,United Arab Emirates,0.856,11.9,76.4,50.6,100,50,82.5,1.05,18,17.9,98.5,0
26,Croatia,0.848,11.1,82.7,44.3,98.1,31.1,93.8,1.06,6,4,81.1,0
27,Israel,0.844,13,93.7,58.3,96.3,26.7,80.6,1.05,14,6,74.8,0.7
28,Italy,0.842,10.2,91.6,38,98.2,35.3,97.5,1.06,1,4,64.2,0
29,Poland,0.84,12.5,88,48.7,97.6,27.6,93.8,1.06,8,3,65.6,0
30,Lithuania,0.833,13.3,81,55.2,100,27.7,93.8,1.06,6,5,56,0
31,Czech Republic,0.83,12.6,78.6,53.2,99.8,20.64,93.8,1.06,8,4,69.2,0
32,Hong Kong,0.829,11.8,94.7,50.3,94.6,17.1,89,1.07,1,3,77.5,0
33,South Korea,0.827,11.4,94.7,54.6,99.8,19,85,1.06,6,8,76.2,0
34,Serbia,0.826,10.8,70.1,46.5,97,39.2,93.8,1.07,4,4,66,0
35,Japan,0.823,13.1,98.1,52.5,90.6,14.4,81.9,1.06,5,4,70.9,0
36,Cyprus,0.82,12.2,90,56.7,95.8,21.4,91.3,1.07,5,3,59.9,0
37,Malta,0.815,11.6,97,46.2,98.2,13.4,88.8,1.06,11,4,70.9,0
38,Belarus,0.814,12.2,81.3,56.1,90.1,34.7,75.6,1.06,11,6,63.9,0
39,Slovakia,0.811,12.7,83.1,52.1,98.2,22.7,85,1.05,26,6,66.8,0
40,Georgia,0.808,13.2,63.6,53.7,99.8,20.7,85.6,1.06,17,3,70.7,0
41,Bulgaria,0.804,11.3,73.6,48.7,99,27.1,90.6,1.06,8,6,56.5,0
42,Montenegro,0.803,10.9,67.6,40.8,98.9,24.7,88.1,1.07,6,4,77.8,0
43,Jamaica,0.8,10.2,77.8,59.9,93.2,31,68.1,1.05,9,7,60.2,0
44,North Macedonia,0.798,9.4,72.9,36.3,97.9,39.2,85,1.06,13,4,58.4,0
45,Greece,0.792,10.3,84.5,37.1,99.1,21.7,97.5,1.07,10,5,61.2,0
46,Hungary,0.79,11.7,72.2,49,97.1,12.6,96.9,1.06,12,6,63.2,0
47,Costa Rica,0.781,8.8,60.9,42.1,88.2,45.6,83.1,1.05,8,7,42,0
48,Uruguay,0.776,9.2,60.6,48.6,95.8,26.2,88.8,1.05,4,4,39.7,0
49,Argentina,0.774,11.1,50.8,45.1,96.5,42,76.3,1.04,10,4,39.9,0
49,Bolivia,0.774,8.3,53.9,61.3,93.7,48.2,88.8,1.05,12,18,45.4,0
49,Ecuador,0.774,8.7,42.6,52.7,96.8,39.4,89.4,1.05,7,8,40.5,0
52,Trinidad and Tobago,0.771,11.1,73.6,46.8,92.1,32.4,75,1.04,9,8,45,0
53,Russian Federation,0.77,11.9,76.1,54.3,96.8,16.1,73.1,1.06,7,6,49.2,0
54,Mongolia,0.769,10.7,95,60.4,100,17.3,82.5,1.03,8,12,46.4,0
55,Romania,0.765,11.9,53.6,46.7,90.7,18.5,90.6,1.06,6,7,52.5,0
56,Bosnia and Herzegovina,0.764,8.9,54.7,30.8,98.2,24.6,85,1.06,5,3,60.2,0
56,Guyana,0.764,8.9,59.3,35.7,92.3,35.7,86.9,1.05,13.8,10,51,0
58,Albania,0.762,9.7,38.1,51.1,100,29.5,91.3,1.08,6,6,61.5,0
59,Kazakhstan,0.761,12.2,60.3,60.3,100,24.5,69.4,1.06,16,6,44.1,0
60,Turkmenistan,0.76,9.8,35.5,46.6,94.9,25,76.8,1.05,34,7.2,92.6,0
61,Philippines,0.758,9.6,38.9,49.2,93.9,28.1,78.8,1.06,16,6,69.8,0.3
62,Chile,0.757,10.5,71.3,45.3,94.4,23.2,80,1.04,6,6,38.2,0
63,Nicaragua,0.756,7.2,24.8,52.2,73.4,48.4,86.3,1.05,15,6,55.2,0
64,Mauritius,0.75,9.4,87.1,42,83.5,20,91.9,1.04,7,18.4,55.4,0
64,Moldova,0.75,11.8,44.6,37.6,100,24.8,84.4,1.06,10,9,49.1,0
66,Rwanda,0.748,3.9,45,88.2,46.7,55.7,80.6,1.03,6,23,79,0.1
66,South Africa,0.748,10,70,38,99.8,45.3,88.1,1.03,19,13,32.8,0
66,Ukraine,0.748,11.3,61.3,43.1,99.5,20.8,79.4,1.06,11,9,45.6,0.5
69,El Salvador,0.747,6.5,24.4,41.2,96,33.3,88.8,1.05,8,6,58.4,0
69,Ghana,0.747,6.6,53.7,70.2,98.6,14.6,75,1.05,7,10,56.5,0
71,Dominican Republic,0.746,8.8,54.1,49.4,95.7,25.7,86.3,1.05,9,10,37.3,0
71,Venezuela,0.746,10.6,70,39.7,92,22.2,85,1.05,6,8,27.4,0
73,Thailand,0.744,8.2,79.8,62.3,100,13.9,78.1,1.06,22,9,50.3,0.1
74,Lao PDR,0.741,4.9,31.9,81,99.8,27.5,88.1,1.05,24.1,8,46.7,0
74,Uzbekistan,0.741,11.6,36,48.7,76.5,28.7,70.6,1.06,32,7.3,85.7,0
76,Tanzania,0.739,5.8,42.2,83.3,99.6,36.7,81.3,1.03,15,24,67.1,0
77,Barbados,0.737,11,70.4,54.3,92.2,29.4,76.9,1.04,6.3,27,52.6,0
77,Kosovo*,0.737,8.1,43.7,13.4,100,36.7,92,1.08,9,5,65.8,2.9
77,Paraguay,0.737,8.6,46,58.2,84.9,16,94.4,1.05,14,6,43,0
80,Brazil,0.734,8.2,67.5,44.7,96.3,14.8,85,1.05,6,6,31.5,0.9
80,Fiji,0.734,11,67,39.6,87.6,21.6,82.5,1.06,19.8,23,72.4,0
80,Suriname,0.734,9.4,59.3,37,87.5,29.4,73.8,1.07,13.8,8,58.6,0
83,Panama,0.733,11.2,42.3,50.2,76.7,22.5,79.4,1.05,10,8,43.4,0
83,Peru,0.733,9.2,34.4,56.5,78.3,26.2,95,1.05,7,11,39.4,0
85,Armenia,0.727,11.2,40.9,33.8,94.5,22.7,82.5,1.1,17,5,87.3,0.2
85,Tajikistan,0.727,10.8,42.1,30.2,99,23.4,78.8,1.07,29,14,86.8,0
85,Zimbabwe,0.727,8.1,51.7,76.5,95.9,34.57,86.9,1.02,7,18,35.5,0
88,Mexico,0.725,8.8,33.3,42.9,92.9,48.4,88.8,1.05,14,10,32,9.7
89,China,0.722,7.7,76.4,59.6,100,24.9,75.6,1.12,19,8,84.8,0
90,Colombia,0.721,8.7,42.5,45.6,93.8,19.6,81.9,1.05,6,12,44.2,0.3
90,Kenya,0.721,6,77.7,82.6,99.8,23.2,80.6,1.03,19,23,48.3,0.3
92,Belize,0.72,9.9,52.3,47.9,92.3,19.6,79.4,1.03,13.8,8,45.4,0
93,Cambodia,0.719,4.2,21.5,77,99.3,19.8,75,1.05,15,9,59.8,0
93,Tonga,0.719,11.3,67,41.9,94.3,7.4,58.8,1.05,19.8,17,72.4,0
95,Namibia,0.714,7.3,80.7,56.7,99.6,35.6,86.3,1.01,17.3,16,32,0
95,Nepal,0.714,4.3,41.6,73.7,81.8,33.6,80.6,1.07,18,11,52.1,0
97,Bahrain,0.713,10.4,75.4,45.7,99.8,18.8,55.6,1.04,22,18.1,58.5,0
97,Kyrgyzstan,0.713,11.2,38.9,42.4,100,17.1,76.9,1.06,28,13,61.5,0
97,Qatar,0.713,11.3,61.6,58.6,93.4,9.8,29.4,1.05,20.7,18,89,0
100,Indonesia,0.707,7.8,51.4,55.2,71.2,21,64.4,1.05,37,9,75.3,0
100,Timor-Leste,0.707,3.8,48.6,70.9,79.8,38.5,83.1,1.05,24.1,28,59.6,0
102,Saudi Arabia,0.703,9.8,58.2,20.1,99.6,19.9,80,1.03,26,18,72.3,0
103,Malaysia,0.702,10.3,82.5,53.8,83.5,14.6,50,1.06,20,13.1,49.1,0
104,Honduras,0.698,6.4,41,44.3,71.8,21.1,75,1.05,11,7,53.9,0
105,Sri Lanka,0.697,11.1,73.4,33.8,77.5,5.4,65.6,1.04,31,4,61.2,0.4
106,Turkey,0.693,7.5,54.3,28.5,98.2,17.3,82.5,1.05,16,12,37,0.5
107,Viet Nam,0.692,8,30.4,74,91.9,26.7,81.9,1.11,18,10,61.6,0
108,Cabo Verde,0.69,6,44.2,51.3,76.4,26.4,86.3,1.03,22.3,11,51,0
109,Uganda,0.685,4.9,52.7,71.7,99.8,34.9,73.1,1.03,21,26,42.9,0
110,Oman,0.675,10.6,63.5,38,90.9,9.9,36,1.05,20.7,18.1,63.5,0
111,Mozambique,0.673,2.7,32.9,81.5,62.2,42.4,82.5,1.02,19.1,16,47.7,2.5
112,Maldives,0.671,7,66.3,38.7,94.6,4.6,73.8,1.07,26.1,6,45.5,0
113,Ethiopia,0.668,1.7,29.1,71.8,98.1,37.3,76.9,1.04,14,27,43.2,1.4
114,Benin,0.667,2.4,28.6,77.9,91.1,8.4,77.5,1.04,14,15,58.9,0
115,Guatemala,0.664,6.6,42.1,38.2,57.6,19.4,70.6,1.05,13,7,46.5,0
116,Zambia,0.661,6.3,40.3,73,99.4,16.8,81.3,1.03,16,28,39.7,0
117,Tunisia,0.659,6.5,28.4,20.4,94.9,26.3,67.5,1.05,26,10,43,0
118,Botswana,0.657,9.5,46.8,60.4,86.6,10.8,63.8,1.03,9,17,29.1,0
119,Sao Tome and Principe,0.656,5.8,44.2,39.9,76.4,23.6,86.3,1.03,22.3,18,48,0
120,Senegal,0.655,1.9,38.4,36.9,76.6,43,66.9,1.04,22,12,39.4,0
120,Togo,0.655,3.5,37.6,66.5,68.2,18.7,84.4,1.02,9,13,47.7,0
122,Côte d'Ivoire,0.654,4.2,35.6,52,98.4,13.6,83.1,1.03,15,16,42.8,0
123,Kuwait,0.653,8,73.5,48.5,99.8,1.5,28.8,1.05,47,18.1,84.1,0
124,Lesotho,0.65,7.2,46.5,50.6,74.7,22.9,78.1,1.03,19,16,26.9,0
125,Iran,0.649,10.3,91.6,14.8,91.2,5.6,31.3,1.05,38,18,66.1,0.2
126,Cameroon,0.648,4.7,30,77.2,94.9,31.1,60,1.03,19,22,38.4,3.4
127,Jordan,0.646,10.3,26.6,13,99.3,11.8,46.9,1.05,38,13,77,0
128,Malawi,0.644,6.9,29.8,73.4,50.5,22.9,77.5,1.03,25,17,44.3,0
129,Bhutan,0.642,3.3,27.7,64.9,67.1,15.3,71.9,1.04,31,9,61.7,0
130,Burundi,0.635,2.6,6.7,91.8,33.5,38.9,73.1,1.03,19.1,22,62.6,1
130,Nigeria,0.635,5.7,27.3,51.7,99.5,6.2,63.1,1.06,17,13,42.3,1.4
132,Azerbaijan,0.63,10.2,27.7,59.6,90.6,18.2,78.8,1.12,31,5,84.7,25.1
132,Lebanon,0.63,8.5,32.9,21.7,91.7,4.7,52.5,1.05,20,8.9,46.3,0.1
134,Myanmar,0.629,5,26,43.9,96.6,15,58.8,1.03,33,11,59.6,0.6
135,Comoros,0.628,4,17.9,39,70.1,16.7,65,1.05,22.4,8,61.9,0
136,Burkina Faso,0.627,1.1,34.5,62.6,71.4,6.3,79.4,1.05,20,11,57.9,4.3
136,Egypt,0.627,9,27,16.5,98.5,22.7,45,1.06,48,15,70.9,0.5
138,Equatorial Guinea,0.624,4.2,51.2,60.7,87.5,20.4,51.9,1.03,17.3,29,48,0
138,Morocco,0.624,4.7,16.8,20,98.4,18.5,75.6,1.06,31,10,49.2,0
140,Gabon,0.623,7.8,53.7,38.4,87.1,16.7,57.5,1.03,11,22,25.3,0
141,Algeria,0.616,7.7,29.3,14.5,84.1,21.2,57.5,1.05,45,9.4,42.4,0.1
142,Haiti,0.611,4.3,30,61.8,73.6,2.5,63.8,1.05,22,12,38.9,0.6
143,Mali,0.61,2.3,25.7,58.3,64.8,27.3,60.6,1.05,30,18,51.5,6.7
144,Angola,0.609,4,22.3,79.7,44.7,29.6,73.1,1.03,22.3,25,39.8,0.1
145,Papua New Guinea,0.604,4,68.2,50,79.8,0,60,1.08,24.1,31,77.3,0.1
146,Eswatini,0.602,6.3,27.4,45.9,89.8,18.5,46.3,1.03,22.3,18,34.6,0
146,Guinea,0.602,1.5,19.7,66.4,70.5,16.7,76.3,1.02,11,21,50.4,0.1
148,Gambia,0.597,3.3,27.7,50.3,75.3,8.6,74.4,1.03,19.1,10,31.6,0
148,India,0.597,5.4,76.6,21.5,57.9,13.4,74.4,1.1,25,18,55.9,0.1
150,Libya,0.596,8.5,59.6,30.6,100,16,50,1.06,52,18.3,50.4,15.9
151,Djibouti,0.595,5.4,8.8,48,41.2,26.2,68.1,1.04,22.3,26.9,69.3,0.2
152,Bangladesh,0.594,6,35.8,35.2,85.9,20.9,49.4,1.05,57,23,51.4,0
152,Liberia,0.594,3.5,28.2,75.1,52.8,8.7,83.8,1.05,12,27,30.6,0
152,Niger,0.594,1.4,10.9,66.3,43.6,25.9,59.4,1.05,33,13,58.4,1.9
155,Congo,0.582,6.1,21,68.9,74,13.6,49.4,1.03,8,33.8,40.3,0
156,Madagascar,0.578,6.4,16.3,84.7,38.7,17.2,74.4,1.03,16,35,38.7,0
157,Central African Republic,0.577,3,9.7,68.2,70.6,8.6,76.9,1.03,11,21,49.4,9.2
157,Mauritania,0.577,3.8,15.5,30.6,72.6,20.3,48.1,1.05,21,19.7,45.5,0
159,Somalia,0.572,4.3,33.7,23.1,63.5,24.3,47,1.03,28,21.2,85.9,14.8
160,Palestine*,0.571,9.4,16,13.2,83.5,21.17,26.3,1.05,49,19,63.7,4.3
161,Sierra Leone,0.563,2.9,15.4,66.7,45.2,12.3,69.4,1.02,12,20,45.8,0
162,Sudan,0.556,3.3,10,24.7,68.1,22.1,29.4,1.04,19.1,17,64.3,1.2
163,Chad,0.547,1.3,14.9,65.5,36.8,15.4,66.3,1.03,20,16,42.2,1.2
163,Democratic Republic of the Congo,0.547,5.3,24.2,68,43.2,14.3,78.8,1.03,25,36,37,3.6
165,South Sudan,0.541,3.9,4.7,63.3,27,26.6,70,1.04,25,27,42.6,7.6
166,Iraq,0.516,6,19.5,10.2,100,26.4,45,1.07,53,45.3,57.6,2.7
167,Pakistan,0.476,3.9,7,21.1,52.3,20,55.6,1.09,73,16,65.4,0.2
168,Yemen,0.388,2.9,1.7,5.2,53.5,1,26.9,1.05,53,18.2,44,10.9
169,Syria,0.375,4.6,19.6,13.5,72.9,11.2,36.9,1.05,26.3,23,16.9,75.1
170,Afghanistan,0.278,1.9,7.2,19.2,42.7,27.2,38.1,1.06,51,35,9.8,68.6
,Andorra,,10.5,,,,46.4,,,,,,0
,Antigua and Barbuda,,,,,,31.4,66.3,1.03,,,,0
,Bahamas,,11.7,,63.3,,21.8,81,1.06,,,,0
,Brunei Darussalam,,9.1,,56.8,,9.1,53,1.06,,,,0
,Cuba,,11.2,,38.5,,53.4,,1.06,,5,,0
,Democratic People's Republic of Korea,,,,70.1,,17.6,,1.05,,,,0
,Dominica  ,,,,,,34.4,62.5,,,,,0
,Eritrea,,,,65.8,,,69,1.05,,,,0.5
,Federated States of Micronesia,,,,,,0,63.8,1.06,,21,,0
,Grenada,,,,,,32.1,80.6,1.05,,8,,0
,Guinea-Bissau,,,,68.5,,13.7,43,1.03,,,,0
,Kiribati,,,,,,6.7,78.8,1.06,,25,,0
,Liechtenstein,,,,,,12,,,,,,0
,Marshall Islands,,10.7,,,,6.1,68.1,,,19,,0
,Monaco,,,,,,33.3,,,,,,0
,Nauru,,,,,,10.5,,,,20,,0
,Palau,,,,,,6.9,58.8,,,14,,0
,Saint Kitts and Nevis,,,,,,25,71.3,,,,,0
,Saint Lucia,,8.8,,57,,20.7,83.8,1.03,,,,0
,Saint Vincent and the Grenadines,,8.9,,49.8,,18.2,68.1,1.03,,,,0
,Samoa,,,,30.7,,10,80,1.08,,18,,0
,San Marino,,,,,,33.3,80,,,,,0
,Seychelles,,9.9,,,,22.9,76,1.06,,,,0
,Solomon Islands,,,,86.5,,8,56.9,1.06,,28,,0
,Taiwan,,,,51.6,97.7,,91,,2,,85,0
,Tuvalu,,,,,,6.3,,,,20,,0
,Vanuatu,,,,63.5,,0,58,1.06,,29,,0